epoch: 30, train_loss: 0.7608, train_acc: 65.49, train_fscore: 64.75, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0712, test_acc: 60.44, test_fscore: 60.21, time: 32.02 sec
epoch: 31, train_loss: 0.7558, train_acc: 64.92, train_fscore: 64.04, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0796, test_acc: 62.17, test_fscore: 61.6, time: 34.12 sec
epoch: 32, train_loss: 0.7475, train_acc: 66.13, train_fscore: 65.37, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0835, test_acc: 61.37, test_fscore: 60.68, time: 30.8 sec
epoch: 33, train_loss: 0.743, train_acc: 65.7, train_fscore: 64.92, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0626, test_acc: 61.43, test_fscore: 60.94, time: 32.93 sec
epoch: 34, train_loss: 0.7339, train_acc: 66.4, train_fscore: 65.69, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.108, test_acc: 61.61, test_fscore: 60.86, time: 51.64 sec
epoch: 35, train_loss: 0.7442, train_acc: 66.06, train_fscore: 65.17, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0539, test_acc: 60.26, test_fscore: 59.35, time: 106.94 sec
epoch: 36, train_loss: 0.7368, train_acc: 65.59, train_fscore: 65.0, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0756, test_acc: 60.57, test_fscore: 60.06, time: 53.55 sec
epoch: 37, train_loss: 0.7277, train_acc: 66.39, train_fscore: 65.42, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1093, test_acc: 60.87, test_fscore: 60.05, time: 35.34 sec
epoch: 38, train_loss: 0.7287, train_acc: 66.18, train_fscore: 65.42, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0584, test_acc: 60.51, test_fscore: 59.44, time: 42.53 sec
epoch: 39, train_loss: 0.7191, train_acc: 66.9, train_fscore: 66.13, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0849, test_acc: 60.51, test_fscore: 59.83, time: 38.26 sec
epoch: 40, train_loss: 0.7193, train_acc: 67.37, train_fscore: 66.57, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0925, test_acc: 60.2, test_fscore: 59.18, time: 86.53 sec
epoch: 41, train_loss: 0.706, train_acc: 66.49, train_fscore: 65.53, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0736, test_acc: 59.21, test_fscore: 58.42, time: 75.17 sec
epoch: 42, train_loss: 0.7044, train_acc: 68.06, train_fscore: 67.42, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1562, test_acc: 58.78, test_fscore: 58.23, time: 50.95 sec
epoch: 43, train_loss: 0.7039, train_acc: 67.52, train_fscore: 66.79, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1107, test_acc: 58.53, test_fscore: 58.33, time: 57.57 sec
epoch: 44, train_loss: 0.6997, train_acc: 67.61, train_fscore: 66.88, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1146, test_acc: 59.15, test_fscore: 58.72, time: 60.13 sec
epoch: 45, train_loss: 0.6914, train_acc: 67.87, train_fscore: 67.02, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0772, test_acc: 60.57, test_fscore: 59.78, time: 41.85 sec
epoch: 46, train_loss: 0.6864, train_acc: 67.78, train_fscore: 67.06, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.0698, test_acc: 61.18, test_fscore: 60.65, time: 45.19 sec
epoch: 47, train_loss: 0.6764, train_acc: 68.8, train_fscore: 68.0, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.094, test_acc: 60.87, test_fscore: 60.24, time: 84.55 sec
epoch: 48, train_loss: 0.6722, train_acc: 68.35, train_fscore: 67.68, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.117, test_acc: 55.33, test_fscore: 55.25, time: 76.19 sec
